Origin State,Airport Name,year,Cost Total $
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1996,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1997,188024
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1998,0
California,SAN FRANCISCO INTERNATIONAL AIRPORT,1999,37046
California,SAN FRANCISCO INTERNATIONAL AIRPORT,2000,1336
California,SAN FRANCISCO INTERNATIONAL AIRPORT,2001,195
California,SAN FRANCISCO INTERNATIONAL AIRPORT,2002,0
Colorado,DENVER INTERNATIONAL AIRPORT,1995,0
Colorado,DENVER INTERNATIONAL AIRPORT,1996,0
Colorado,DENVER INTERNATIONAL AIRPORT,1997,0
Colorado,DENVER INTERNATIONAL AIRPORT,1998,0
Colorado,DENVER INTERNATIONAL AIRPORT,1999,0
Colorado,DENVER INTERNATIONAL AIRPORT,2000,0
Colorado,DENVER INTERNATIONAL AIRPORT,2001,0
Colorado,DENVER INTERNATIONAL AIRPORT,2002,0
DC,RONALD REAGAN WASHINGTON NATL,1990,0
DC,RONALD REAGAN WASHINGTON NATL,1991,76238
DC,RONALD REAGAN WASHINGTON NATL,1992,0
DC,RONALD REAGAN WASHINGTON NATL,1993,0
DC,RONALD REAGAN WASHINGTON NATL,1994,0
DC,RONALD REAGAN WASHINGTON NATL,1995,2199
DC,RONALD REAGAN WASHINGTON NATL,1996,0
DC,RONALD REAGAN WASHINGTON NATL,1997,0
DC,RONALD REAGAN WASHINGTON NATL,1998,112696
DC,RONALD REAGAN WASHINGTON NATL,1999,0
DC,RONALD REAGAN WASHINGTON NATL,2000,151009
DC,RONALD REAGAN WASHINGTON NATL,2001,0
DC,RONALD REAGAN WASHINGTON NATL,2002,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1990,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1991,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1992,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1993,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1994,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1995,304927
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1996,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1997,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1998,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,1999,0
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,2000,23969
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,2001,559688
DC,WASHINGTON DULLES INTERNATIONAL AIRPORT,2002,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1990,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1991,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1992,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1993,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1994,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1995,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1996,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1997,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1998,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,1999,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,2000,0
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,2001,130
Florida,FORT LAUDERDALE/HOLLYWOOD INTERNATIONAL,2002,0
Florida,ORLANDO INTERNATIONAL,1990,0
Florida,ORLANDO INTERNATIONAL,1991,0
Florida,ORLANDO INTERNATIONAL,1992,0
Florida,ORLANDO INTERNATIONAL,1993,0
Florida,ORLANDO INTERNATIONAL,1994,0
Florida,ORLANDO INTERNATIONAL,1995,0
Florida,ORLANDO INTERNATIONAL,1996,0
Florida,ORLANDO INTERNATIONAL,1997,0
Florida,ORLANDO INTERNATIONAL,1998,0
Florida,ORLANDO INTERNATIONAL,1999,0
Florida,ORLANDO INTERNATIONAL,2000,0
Florida,ORLANDO INTERNATIONAL,2001,35143
Florida,ORLANDO INTERNATIONAL,2002,0
Georgia,ATLANTA INTERNATIONAL,1990,0
Georgia,ATLANTA INTERNATIONAL,1991,0
Georgia,ATLANTA INTERNATIONAL,1992,0
Georgia,ATLANTA INTERNATIONAL,1993,0
Georgia,ATLANTA INTERNATIONAL,1994,0
Georgia,ATLANTA INTERNATIONAL,1995,0
Georgia,ATLANTA INTERNATIONAL,1996,0
Georgia,ATLANTA INTERNATIONAL,1997,0
Georgia,ATLANTA INTERNATIONAL,1998,0
Georgia,ATLANTA INTERNATIONAL,1999,1372
Georgia,ATLANTA INTERNATIONAL,2000,40091
Georgia,ATLANTA INTERNATIONAL,2001,260
Georgia,ATLANTA INTERNATIONAL,2002,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1990,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1991,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1992,1650
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1993,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1994,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1995,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1996,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1997,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1998,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,1999,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,2000,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,2001,0
Hawaii,HONOLULU INTERNATIONAL AIRPORT,2002,0
Hawaii,LIHUE AIRPORT,1990,0
Hawaii,LIHUE AIRPORT,1991,0
Hawaii,LIHUE AIRPORT,1992,0
Hawaii,LIHUE AIRPORT,1993,0
Hawaii,LIHUE AIRPORT,1994,0
Hawaii,LIHUE AIRPORT,1995,0
Hawaii,LIHUE AIRPORT,1996,4826
Hawaii,LIHUE AIRPORT,1997,0
Hawaii,LIHUE AIRPORT,1998,0
Hawaii,LIHUE AIRPORT,1999,0
Hawaii,LIHUE AIRPORT,2000,0
Hawaii,LIHUE AIRPORT,2001,0
Hawaii,LIHUE AIRPORT,2002,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1991,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1992,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1993,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1994,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1995,10673
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1996,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1997,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1998,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,1999,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,2000,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,2001,0
Illinois,CHICAGO MIDWAY INTERNATIONAL AIRPORT,2002,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1990,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1991,3388
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1992,330
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1993,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1994,1957475
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1995,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1996,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1997,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1998,50714
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,1999,1819422
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,2000,0
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,2001,1952
Illinois,CHICAGO O'HARE INTERNATIONAL AIRPORT,2002,0
Indiana,INDIANAPOLIS INTERNATIONAL,1990,0
Indiana,INDIANAPOLIS INTERNATIONAL,1991,0
Indiana,INDIANAPOLIS INTERNATIONAL,1992,0
Indiana,INDIANAPOLIS INTERNATIONAL,1993,0
Indiana,INDIANAPOLIS INTERNATIONAL,1994,0
Indiana,INDIANAPOLIS INTERNATIONAL,1995,0
Indiana,INDIANAPOLIS INTERNATIONAL,1996,15592
Indiana,INDIANAPOLIS INTERNATIONAL,1997,0
Indiana,INDIANAPOLIS INTERNATIONAL,1998,0
Indiana,INDIANAPOLIS INTERNATIONAL,1999,0
Indiana,INDIANAPOLIS INTERNATIONAL,2000,0
Indiana,INDIANAPOLIS INTERNATIONAL,2001,0
Indiana,INDIANAPOLIS INTERNATIONAL,2002,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1990,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1991,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1992,1339
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1993,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1994,20350
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1995,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1996,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1997,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1998,84523
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,1999,686031
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,2000,40091
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,2001,0
Kentucky,CINCINNATI/NORTHERN KENTUCKY INTERNATIONAL AIRPORT,2002,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1990,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1991,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1992,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1993,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1994,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1995,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1996,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1997,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1998,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,1999,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,2000,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,2001,0
Kentucky,LOUISVILLE INTERNATIONAL AIRPORT,2002,0
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1990,89309
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1991,164902
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1992,0
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1993,4449
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1994,0
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1995,0
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1996,74
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1997,21514
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1998,21360
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,1999,0
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,2000,0
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,2001,32540
Louisiana,BARKSDALE AIR FORCE BASE AIRPORT,2002,0
Louisiana,NEW ORLEANS INTERNATIONAL,1990,0
Louisiana,NEW ORLEANS INTERNATIONAL,1991,0
Louisiana,NEW ORLEANS INTERNATIONAL,1992,18151
Louisiana,NEW ORLEANS INTERNATIONAL,1993,0
Louisiana,NEW ORLEANS INTERNATIONAL,1994,0
Louisiana,NEW ORLEANS INTERNATIONAL,1995,0
Louisiana,NEW ORLEANS INTERNATIONAL,1996,0
Louisiana,NEW ORLEANS INTERNATIONAL,1997,144634
Louisiana,NEW ORLEANS INTERNATIONAL,1998,0
Louisiana,NEW ORLEANS INTERNATIONAL,1999,2744
Louisiana,NEW ORLEANS INTERNATIONAL,2000,0
Louisiana,NEW ORLEANS INTERNATIONAL,2001,0
Louisiana,NEW ORLEANS INTERNATIONAL,2002,0
Maryland,BALTIMORE WASH INTERNATIONAL,1990,0
Maryland,BALTIMORE WASH INTERNATIONAL,1991,0
Maryland,BALTIMORE WASH INTERNATIONAL,1992,0
Maryland,BALTIMORE WASH INTERNATIONAL,1993,0
Maryland,BALTIMORE WASH INTERNATIONAL,1994,0
Maryland,BALTIMORE WASH INTERNATIONAL,1995,0
Maryland,BALTIMORE WASH INTERNATIONAL,1996,0
Maryland,BALTIMORE WASH INTERNATIONAL,1997,0
Maryland,BALTIMORE WASH INTERNATIONAL,1998,23314
Maryland,BALTIMORE WASH INTERNATIONAL,1999,0
Maryland,BALTIMORE WASH INTERNATIONAL,2000,0
Maryland,BALTIMORE WASH INTERNATIONAL,2001,0
Maryland,BALTIMORE WASH INTERNATIONAL,2002,0
Massachusetts,LOGAN INTERNATIONAL,1990,48704
Massachusetts,LOGAN INTERNATIONAL,1991,0
Massachusetts,LOGAN INTERNATIONAL,1992,0
Massachusetts,LOGAN INTERNATIONAL,1993,0
Massachusetts,LOGAN INTERNATIONAL,1994,0
Massachusetts,LOGAN INTERNATIONAL,1995,0
Massachusetts,LOGAN INTERNATIONAL,1996,0
Massachusetts,LOGAN INTERNATIONAL,1997,0
Massachusetts,LOGAN INTERNATIONAL,1998,35
Massachusetts,LOGAN INTERNATIONAL,1999,13418
Massachusetts,LOGAN INTERNATIONAL,2000,211146
Massachusetts,LOGAN INTERNATIONAL,2001,0
Massachusetts,LOGAN INTERNATIONAL,2002,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1990,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1991,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1992,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1993,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1995,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1996,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1997,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1998,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,1999,29734
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,2000,768411
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,2001,0
Michigan,DETROIT METRO WAYNE COUNTY AIRPORT,2002,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1990,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1991,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1992,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1993,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1994,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1995,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1996,93554
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1997,5930
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1998,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,1999,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,2000,87398
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,2001,0
Minnesota,MINNEAPOLIS-ST PAUL INTERNATIONAL,2002,0
Missouri,KANSAS CITY INTERNATIONAL,1990,0
Missouri,KANSAS CITY INTERNATIONAL,1991,0
Missouri,KANSAS CITY INTERNATIONAL,1992,0
Missouri,KANSAS CITY INTERNATIONAL,1993,0
Missouri,KANSAS CITY INTERNATIONAL,1994,0
Missouri,KANSAS CITY INTERNATIONAL,1995,0
Missouri,KANSAS CITY INTERNATIONAL,1996,0
Missouri,KANSAS CITY INTERNATIONAL,1997,0
Missouri,KANSAS CITY INTERNATIONAL,1998,0
Missouri,KANSAS CITY INTERNATIONAL,1999,0
Missouri,KANSAS CITY INTERNATIONAL,2000,334091
Missouri,KANSAS CITY INTERNATIONAL,2001,0
Missouri,KANSAS CITY INTERNATIONAL,2002,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1990,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1991,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1992,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1993,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1994,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1995,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1996,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1997,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1998,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,1999,82
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,2000,0
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,2001,184924
Missouri,LAMBERT-ST LOUIS INTERNATIONAL,2002,107757
Nebraska,EPPLEY AIRFIELD,1990,0
Nebraska,EPPLEY AIRFIELD,1991,0
Nebraska,EPPLEY AIRFIELD,1992,0
Nebraska,EPPLEY AIRFIELD,1993,0
Nebraska,EPPLEY AIRFIELD,1994,25046
Nebraska,EPPLEY AIRFIELD,1995,0
Nebraska,EPPLEY AIRFIELD,1996,0
Nebraska,EPPLEY AIRFIELD,1997,148
Nebraska,EPPLEY AIRFIELD,1998,0
Nebraska,EPPLEY AIRFIELD,1999,411618
Nebraska,EPPLEY AIRFIELD,2000,109583
Nebraska,EPPLEY AIRFIELD,2001,48791
Nebraska,EPPLEY AIRFIELD,2002,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1990,28874
New Jersey,ATLANTIC CITY INTERNATIONAL,1991,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1992,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1993,21992
New Jersey,ATLANTIC CITY INTERNATIONAL,1994,270895
New Jersey,ATLANTIC CITY INTERNATIONAL,1995,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1996,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1997,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1998,0
New Jersey,ATLANTIC CITY INTERNATIONAL,1999,6174
New Jersey,ATLANTIC CITY INTERNATIONAL,2000,0
New Jersey,ATLANTIC CITY INTERNATIONAL,2001,0
New Jersey,ATLANTIC CITY INTERNATIONAL,2002,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1990,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1991,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1992,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1993,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1994,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1995,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1996,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1997,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1998,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,1999,0
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,2000,126237
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,2001,3644483
New Jersey,NEWARK LIBERTY INTERNATIONAL AIRPORT,2002,0
New Jersey,TETERBORO AIRPORT,1990,0
New Jersey,TETERBORO AIRPORT,1993,4339
New Jersey,TETERBORO AIRPORT,1994,14331
New Jersey,TETERBORO AIRPORT,1995,0
New Jersey,TETERBORO AIRPORT,1996,178464
New Jersey,TETERBORO AIRPORT,1997,0
New Jersey,TETERBORO AIRPORT,1998,0
New Jersey,TETERBORO AIRPORT,1999,20581
New Jersey,TETERBORO AIRPORT,2000,167047
New Jersey,TETERBORO AIRPORT,2001,781
New Jersey,TETERBORO AIRPORT,2002,0
New York,JOHN F KENNEDY INTERNATIONAL,1990,916119
New York,JOHN F KENNEDY INTERNATIONAL,1991,338833
New York,JOHN F KENNEDY INTERNATIONAL,1992,1237569
New York,JOHN F KENNEDY INTERNATIONAL,1993,0
New York,JOHN F KENNEDY INTERNATIONAL,1994,0
New York,JOHN F KENNEDY INTERNATIONAL,1995,305
New York,JOHN F KENNEDY INTERNATIONAL,1996,0
New York,JOHN F KENNEDY INTERNATIONAL,1997,0
New York,JOHN F KENNEDY INTERNATIONAL,1998,0
New York,JOHN F KENNEDY INTERNATIONAL,1999,0
New York,JOHN F KENNEDY INTERNATIONAL,2000,6014
New York,JOHN F KENNEDY INTERNATIONAL,2001,0
New York,JOHN F KENNEDY INTERNATIONAL,2002,0
New York,LAGUARDIA NY,1990,0
New York,LAGUARDIA NY,1991,0
New York,LAGUARDIA NY,1992,0
New York,LAGUARDIA NY,1993,0
New York,LAGUARDIA NY,1994,0
New York,LAGUARDIA NY,1995,3811576
New York,LAGUARDIA NY,1996,0
New York,LAGUARDIA NY,1997,28926
New York,LAGUARDIA NY,1998,0
New York,LAGUARDIA NY,1999,0
New York,LAGUARDIA NY,2000,30936
New York,LAGUARDIA NY,2001,0
New York,LAGUARDIA NY,2002,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1990,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1991,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1992,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1993,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1994,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1995,152
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1996,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1997,3399
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1998,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,1999,40475
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,2000,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,2001,0
North Carolina,CHARLOTTE/DOUGLAS INTERNATIONAL AIRPORT,2002,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1990,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1991,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1992,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1993,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1994,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1995,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1996,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1997,36158
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1998,0
Ohio,CLEVELAND-HOPKINS INTERNATIONAL AIRPORT,1999,0
